,Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
483,BMW,M2 Competition,2021,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
484,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"64,000",Combustion,6.2,650.0,650.0,3.5,64000
485,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,500",Combustion,6.2,717.0,656.0,3.5,61500
486,Ford,GT,2021,3.5,647,550,2.8,"500,000",Combustion,3.5,647.0,550.0,2.8,500000
487,Lexus,LC 500,2022,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
488,McLaren,570S,2022,3.8,562,443,3.1,"198,950",Combustion,3.8,562.0,443.0,3.1,198950
489,Mercedes-AMG,C63 S Coupe,2021,4,503,516,3.7,"77,950",Combustion,4.0,503.0,516.0,3.7,77950
490,Nissan,370Z Nismo,2021,3.7,350,276,4.9,"45,790",Combustion,3.7,350.0,276.0,4.9,45790
491,Porsche,718 Boxster,2021,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
492,Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,826",Combustion,6.5,729.0,507.0,2.9,417826
493,Ferrari,F8 Tributo,2021,3.9,710,568,2.9,"274,280",Combustion,3.9,710.0,568.0,2.9,274280
494,Audi,TT RS Coupe,2021,2.5,394,354,3.6,"67,600",Combustion,2.5,394.0,354.0,3.6,67600
495,BMW,M4 Coupe,2021,3,473,406,3.8,"71,800",Combustion,3.0,473.0,406.0,3.8,71800
496,Acura,NSX,2021,3.5,573,476,2.7,"159,495",Combustion,3.5,573.0,476.0,2.7,159495
497,Aston Martin,DBS Superleggera,2022,5.2,715,664,3.4,"314,500",Combustion,5.2,715.0,664.0,3.4,314500
498,Bentley,Continental GT,2022,6,626,664,3.3,"214,425",Combustion,6.0,626.0,664.0,3.3,214425
499,Bugatti,Chiron,2022,8,1500,1180,2.3,"3,000,000",Combustion,8.0,1500.0,1180.0,2.3,3000000
500,Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"71,490",Combustion,6.2,717.0,656.0,3.5,71490
501,Jaguar,F-Type,2021,5,575,516,3.5,"105,900",Combustion,5.0,575.0,516.0,3.5,105900
502,Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000",Combustion,5.0,1280.0,1106.0,2.5,2800000
503,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
504,Lotus,Evora GT,2021,3.5,416,317,3.8,"104,400",Combustion,3.5,416.0,317.0,3.8,104400
505,Maserati,GranTurismo,2022,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
506,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
507,Pagani,Huayra,2021,6,764,738,2.6,"2,600,000",Combustion,6.0,764.0,738.0,2.6,2600000
508,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,000",Combustion,4.0,414.0,309.0,4.2,102000
509,Rimac,C_Two,2021,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
510,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"335,550",Combustion,6.8,624.0,605.0,4.4,335550
511,Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"141,990",Electric,,1020.0,1050.0,1.9,141990
512,Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
513,TVR,Griffith,2021,5,500,420,3.9,"157,500",Combustion,5.0,500.0,420.0,3.9,157500
514,Ultima,RS,2021,6.2,1200,1300,2.3,"220,000",Combustion,6.2,1200.0,1300.0,2.3,220000
515,W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"1,550,000",Combustion,3.8,800.0,723.0,2.7,1550000
516,Acura,NSX,2021,3.5,573,476,2.9,"157,500",Combustion,3.5,573.0,476.0,2.9,157500
517,Aston Martin,DBS Superleggera,2022,5.2,715,663,3.2,"308,000",Combustion,5.2,715.0,663.0,3.2,308000
518,Bentley,Continental GT,2021,6,626,664,3.6,"202,500",Combustion,6.0,626.0,664.0,3.6,202500
519,Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Combustion,8.0,1500.0,1180.0,2.3,3000000
520,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000",Combustion,6.2,717.0,656.0,3.5,65000
521,Jaguar,F-Type,2021,3,380,339,4.9,"63,100",Combustion,3.0,380.0,339.0,4.9,63100
522,Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
523,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,600,000",Electric,,1973.0,1254.0,2.5,2600000
524,Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",Combustion,4.7,454.0,384.0,4.8,134300
525,Porsche,Taycan,2021,Electric,616,774,2.6,"185,000",Electric,,616.0,774.0,2.6,185000
526,Rimac,C_Two,2022,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
527,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"140,000",Electric,,1020.0,1050.0,1.98,140000
528,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
529,Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"325,000",Combustion,4.0,720.0,590.0,3.1,325000
530,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
531,Ford,GT,2021,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
532,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",Combustion,5.2,715.0,664.0,3.4,307820
533,Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
534,Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190",Combustion,6.2,797.0,707.0,3.5,80190
535,Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
536,Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745",Combustion,1.8,237.0,258.0,4.1,68745
537,Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170",Combustion,2.5,310.0,290.0,5.2,38170
538,Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
539,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Combustion,5.0,1280.0,1015.0,2.5,2800000
540,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"139,990",Electric,,1020.0,1050.0,1.98,139990
541,Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000",Combustion,8.0,1578.0,1180.0,2.3,5200000
542,McLaren,Senna,2020,4,789,590,2.7,"1,500,000",Combustion,4.0,789.0,590.0,2.7,1500000
543,Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
544,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",Combustion,6.2,622.0,468.0,3.5,275000
545,Lexus,LC 500,2022,5,471,398,4.4,"93,050",Combustion,5.0,471.0,398.0,4.4,93050
546,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000",Combustion,6.2,650.0,650.0,3.5,65000
547,Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
548,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
549,BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
550,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
551,Lamborghini,Aventador,2022,6.5,770,531,2.8,"393,695",Combustion,6.5,770.0,531.0,2.8,393695
552,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Combustion,4.0,503.0,505.0,3.6,146000
553,Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",Combustion,3.5,416.0,317.0,3.8,96950
554,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Combustion,4.0,620.0,604.0,2.9,180000
555,Lamborghini,Aventador S,2022,6.5,729,507,2.9,"460,247",Combustion,6.5,729.0,507.0,2.9,460247
556,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
557,Audi,RS 6 Avant,2022,4,591,590,3.1,"110,045",Combustion,4.0,591.0,590.0,3.1,110045
558,McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
559,BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
560,Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400",Combustion,4.0,503.0,516.0,3.7,77400
561,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
562,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",Combustion,6.2,717.0,656.0,3.5,64195
563,Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
564,Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815",Combustion,3.7,350.0,276.0,5.0,46815
565,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
566,Audi,TT RS,2021,2.5,394,354,3.6,"67,895",Combustion,2.5,394.0,354.0,3.6,67895
567,Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000",Combustion,5.5,625.0,650.0,2.6,85000
568,Lamborghini,Urus,2022,4,641,626,3.2,"218,009",Combustion,4.0,641.0,626.0,3.2,218009
569,Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900",Combustion,4.0,630.0,664.0,3.1,162900
570,Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000",Combustion,3.9,612.0,560.0,3.5,245000
571,Bugatti,Chiron,2021,8,1479,1180,2.5,"3,000,000",Combustion,8.0,1479.0,1180.0,2.5,3000000
572,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Combustion,5.2,715.0,664.0,3.4,304995
573,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
574,Porsche,Cayman GT4,2022,4,414,309,4.2,"100,200",Combustion,4.0,414.0,309.0,4.2,100200
575,Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
576,Lexus,LC,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
577,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"74,750",Combustion,2.9,505.0,443.0,3.8,74750
578,Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
579,Bentley,Continental GT,2021,6,626,664,3.3,"218,400",Combustion,6.0,626.0,664.0,3.3,218400
580,BMW,M5,2021,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
581,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
582,Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"70,595",Combustion,6.2,717.0,656.0,3.5,70595
583,Ford,GT,2022,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
584,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
585,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695",Combustion,6.5,730.0,509.0,2.9,393695
586,McLaren,570S,2021,3.8,562,443,3.1,"203,500",Combustion,3.8,562.0,443.0,3.1,203500
587,Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580",Combustion,6.2,583.0,479.0,3.6,221580
588,Nissan,370Z Nismo,2020,3.7,350,276,4.7,"47,190",Combustion,3.7,350.0,276.0,4.7,47190
589,Porsche,Boxster,2021,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
590,Porsche,718 Cayman,2022,2,300,280,4.9,"61,500",Combustion,2.0,300.0,280.0,4.9,61500
591,Lamborghini,Aventador,2021,6.5,759,531,2.9,"393,695",Combustion,6.5,759.0,531.0,2.9,393695
592,Ferrari,Roma,2021,3.9,612,561,3.3,"222,630",Combustion,3.9,612.0,561.0,3.3,222630
593,Audi,RS 5,2022,2.9,444,442,3.5,"75,400",Combustion,2.9,444.0,442.0,3.5,75400
594,McLaren,570S,2020,3.8,562,443,3.1,"208,000",Combustion,3.8,562.0,443.0,3.1,208000
595,BMW,M2,2022,3,405,406,4.2,"58,900",Combustion,3.0,405.0,406.0,4.2,58900
596,Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250",Combustion,3.0,429.0,384.0,4.9,96250
597,Chevrolet,Camaro,2021,6.2,455,455,4,"25,000",Combustion,6.2,455.0,455.0,4.0,25000
598,Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
599,Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Combustion,3.7,350.0,276.0,5.0,45000
600,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",Combustion,5.2,715.0,664.0,3.4,307820
601,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
602,Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
603,Porsche,Panamera,2022,2.9,325,331,5.2,"88,550",Combustion,2.9,325.0,331.0,5.2,88550
604,Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Combustion,4.0,641.0,627.0,3.6,218009
605,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
606,Audi,RS 6,2022,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
607,McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
608,Porsche,Taycan 4S,2021,Electric (93 kWh),429,472,3.8,"103,800",Electric,,429.0,472.0,3.8,103800
609,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650",Combustion,6.5,730.0,509.0,2.9,417650
610,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
611,Audi,RS 7,2022,4,591,590,3.5,"117,000",Combustion,4.0,591.0,590.0,3.5,117000
612,McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
613,BMW,M4,2021,3,473,406,4,"72,800",Combustion,3.0,473.0,406.0,4.0,72800
614,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"228,000",Combustion,6.2,622.0,468.0,3.5,228000
615,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
616,Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
617,Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000",Combustion,3.7,350.0,276.0,5.0,48000
618,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"307,820",Combustion,5.2,715.0,664.0,3.2,307820
619,Lexus,LC 500,2021,5,471,398,4.4,"93,000",Combustion,5.0,471.0,398.0,4.4,93000
620,Bentley,Continental GT,2021,4,626,664,3.3,"202,500",Combustion,4.0,626.0,664.0,3.3,202500
621,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
622,Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050,1.98,"131,190",Electric,,1020.0,1050.0,1.98,131190
623,Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"346,300",Combustion,6.6,563.0,605.0,4.3,346300
624,Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"3,599,000",Combustion,8.0,1500.0,1180.0,2.3,3599000
625,McLaren,Senna,2019,4,789,590,2.7,"1,050,000",Combustion,4.0,789.0,590.0,2.7,1050000
626,Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641,3,"186,350",Hybrid,4.0,690.0,641.0,3.0,186350
627,Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
628,Aston Martin,DB11,2021,4,503,498,3.7,"205,600",Combustion,4.0,503.0,498.0,3.7,205600
629,Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
630,Bentley,Continental GT,2021,6,626,664,3.6,"201,000",Combustion,6.0,626.0,664.0,3.6,201000
631,Bugatti,Chiron,2021,8,1500,1180,2.5,"3,000,000",Combustion,8.0,1500.0,1180.0,2.5,3000000
632,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"67,000",Combustion,6.2,650.0,650.0,3.5,67000
633,Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"64,000",Combustion,6.2,717.0,656.0,3.5,64000
634,Ferrari,812 Superfast,2021,6.5,789,530,2.8,"340,000",Combustion,6.5,789.0,530.0,2.8,340000
635,Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"517,770",Combustion,6.5,770.0,531.0,2.8,517770
636,McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500",Combustion,3.8,592.0,457.0,2.8,256500
637,Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000",Combustion,4.0,720.0,590.0,3.1,325000
638,Nissan,400Z,2023,3,400,350,4,"40,000",Combustion,3.0,400.0,350.0,4.0,40000
639,Porsche,Cayman GT4,2021,4,414,309,4.2,"101,000",Combustion,4.0,414.0,309.0,4.2,101000
640,Rimac,Nevera,2021,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
641,Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
642,Tesla,Model S Plaid,2021,Electric,1020,,1.9,"139,990",Electric,,1020.0,,1.9,139990
643,Toyota,Supra,2021,3,382,368,3.9,"43,000",Combustion,3.0,382.0,368.0,3.9,43000
644,Porsche,718 Boxster,2021,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
645,Porsche,718 Boxster,2022,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
646,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826",Combustion,6.5,730.0,509.0,2.9,417826
647,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
648,Audi,RS 7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
649,McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
650,BMW,M2,2022,3,405,406,4.1,"58,900",Combustion,3.0,405.0,406.0,4.1,58900
651,Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580",Combustion,6.2,583.0,479.0,3.6,221580
652,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
653,Ford,GT,2022,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
654,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,000",Combustion,3.7,350.0,276.0,4.8,45000
655,Dodge,Charger Hellcat,2021,6.2,707,650,3.6,"69,995",Combustion,6.2,707.0,650.0,3.6,69995
656,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"305,000",Combustion,5.2,715.0,663.0,3.2,305000
657,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,000",Combustion,2.9,505.0,443.0,3.8,75000
658,Audi,TT RS,2021,2.5,394,354,3.6,"68,000",Combustion,2.5,394.0,354.0,3.6,68000
659,Bentley,Continental GT,2021,6,626,664,3.6,"203,825",Combustion,6.0,626.0,664.0,3.6,203825
660,BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
661,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900",Combustion,6.2,495.0,470.0,2.9,58900
662,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"63,000",Combustion,6.2,717.0,656.0,3.5,63000
663,Ford,Mustang GT,2022,5,460,420,4,"45,000",Combustion,5.0,460.0,420.0,4.0,45000
664,Porsche,Cayman,2022,2,300,280,4.9,"59,900",Combustion,2.0,300.0,280.0,4.9,59900
665,Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Combustion,6.5,770.0,531.0,2.8,417826
666,Ferrari,Roma,2022,3.9,612,560,3.3,"222,630",Combustion,3.9,612.0,560.0,3.3,222630
667,Audi,RS7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
668,McLaren,570S,2021,3.8,562,443,2.7,"204,995",Combustion,3.8,562.0,443.0,2.7,204995
669,BMW,M4,2022,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
670,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.5,"243,600",Combustion,6.2,622.0,468.0,3.5,243600
671,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
672,Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
673,Nissan,370Z Nismo,2021,3.7,350,276,5,"47,190",Combustion,3.7,350.0,276.0,5.0,47190
674,Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Combustion,2.9,325.0,331.0,5.4,88550
675,Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
676,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
677,Audi,RS6,2022,4,591,590,3.5,"113,000",Combustion,4.0,591.0,590.0,3.5,113000
678,McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
679,BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
680,Mercedes-Benz,GT 63,2021,4,577,590,3.3,"161,200",Combustion,4.0,577.0,590.0,3.3,161200
681,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
682,Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"310,000",Combustion,5.2,715.0,663.0,3.2,310000
683,Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
684,Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000",Combustion,5.0,1280.0,1106.0,2.5,2800000
685,Pagani,Huayra,2021,6,764,737,3,"2,600,000",Combustion,6.0,764.0,737.0,3.0,2600000
686,Rimac,C_Two,2022,,1914,1696,1.85,"2,400,000",Unknown,,1914.0,1696.0,1.85,2400000
687,McLaren,Senna,2021,4,789,590,2.7,"1,000,000",Combustion,4.0,789.0,590.0,2.7,1000000
688,Porsche,918 Spyder,2015,4.6,887,944,2.2,"1,800,000",Combustion,4.6,887.0,944.0,2.2,1800000
689,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
690,Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"517,000",Combustion,6.5,759.0,531.0,2.8,517000
691,Audi,RS 6 Avant,2021,4,591,590,3.5,"110,000",Combustion,4.0,591.0,590.0,3.5,110000
692,Bentley,Continental GT Speed,2022,6,650,664,3.5,"300,000",Combustion,6.0,650.0,664.0,3.5,300000
693,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"68,000",Combustion,6.2,650.0,650.0,3.5,68000
694,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000",Combustion,6.2,717.0,656.0,3.5,65000
695,Ford,GT,2021,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
696,Lexus,LC 500,2022,5,471,398,4.4,"92,000",Combustion,5.0,471.0,398.0,4.4,92000
697,Lotus,Evija,2022,,1972,1254,2.5,"2,700,000",Unknown,,1972.0,1254.0,2.5,2700000
698,Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"330,000",Combustion,4.0,720.0,590.0,3.1,330000
699,Aston Martin,DB11,2021,4,503,513,3.9,"205,000",Combustion,4.0,503.0,513.0,3.9,205000
700,Bentley,Continental GT,2022,4,542,568,3.9,"229,000",Combustion,4.0,542.0,568.0,3.9,229000
701,Jaguar,F-Type,2022,2,296,295,5.4,"62,750",Combustion,2.0,296.0,295.0,5.4,62750
702,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,000",Combustion,3.5,416.0,317.0,3.8,100000
703,Maserati,GranTurismo,2021,4.7,454,384,4.7,"135,000",Combustion,4.7,454.0,384.0,4.7,135000
704,Porsche,Boxster,2022,2,300,280,4.9,"63,000",Combustion,2.0,300.0,280.0,4.9,63000
705,Alfa Romeo,4C,2020,1.8,237,258,4.2,"67,150",Combustion,1.8,237.0,258.0,4.2,67150
706,Chevrolet,Camaro,2022,6.2,455,455,4,"62,195",Combustion,6.2,455.0,455.0,4.0,62195
707,Dodge,Challenger,2022,3.6,305,268,6.4,"28,000",Combustion,3.6,305.0,268.0,6.4,28000
708,Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
709,Audi,RS7,2022,4,591,590,3.5,"115,045",Combustion,4.0,591.0,590.0,3.5,115045
710,BMW,M4,2022,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
711,Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Combustion,6.5,729.0,507.0,2.9,393695
712,Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"69,900",Combustion,4.0,469.0,479.0,3.8,69900
713,Nissan,370Z,2021,3.7,350,276,5.3,"30,090",Combustion,3.7,350.0,276.0,5.3,30090
714,Porsche,Cayman,2022,2,300,280,4.9,"68,000",Combustion,2.0,300.0,280.0,4.9,68000
715,BMW,i8,2022,1.5,369,184,4.2,"147,500",Combustion,1.5,369.0,184.0,4.2,147500
716,Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900",Combustion,6.2,495.0,470.0,2.9,58900
717,Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
718,Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,650",Combustion,6.5,729.0,507.0,2.9,417650
719,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
720,Audi,RS7,2022,4,591,590,3.5,"115,000",Combustion,4.0,591.0,590.0,3.5,115000
721,McLaren,GT,2022,4,620,465,3.1,"208,000",Combustion,4.0,620.0,465.0,3.1,208000
722,BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
723,Mercedes-Benz,SLS AMG,2021,4,730,590,2.9,"250,000",Combustion,4.0,730.0,590.0,2.9,250000
