Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Engine Type,Engine Size Numeric,Horsepower Numeric,Torque Numeric,0-60 MPH Time Numeric,Price Numeric
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"71,490",Combustion,6.2,717.0,656.0,3.5,71490
Jaguar,F-Type,2021,5,575,516,3.5,"105,900",Combustion,5.0,575.0,516.0,3.5,105900
Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000",Combustion,5.0,1280.0,1106.0,2.5,2800000
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,400",Combustion,3.5,416.0,317.0,3.8,104400
Maserati,GranTurismo,2022,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
Pagani,Huayra,2021,6,764,738,2.6,"2,600,000",Combustion,6.0,764.0,738.0,2.6,2600000
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,000",Combustion,4.0,414.0,309.0,4.2,102000
Rimac,C_Two,2021,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"335,550",Combustion,6.8,624.0,605.0,4.4,335550
Tesla,Model S Plaid,2021,Electric,1020,1050,1.9,"141,990",Electric,,1020.0,1050.0,1.9,141990
Toyota,GR Supra,2022,3,382,368,3.9,"43,090",Combustion,3.0,382.0,368.0,3.9,43090
TVR,Griffith,2021,5,500,420,3.9,"157,500",Combustion,5.0,500.0,420.0,3.9,157500
Ultima,RS,2021,6.2,1200,1300,2.3,"220,000",Combustion,6.2,1200.0,1300.0,2.3,220000
W Motors,Fenyr SuperSport,2022,3.8,800,723,2.7,"1,550,000",Combustion,3.8,800.0,723.0,2.7,1550000
Acura,NSX,2021,3.5,573,476,2.9,"157,500",Combustion,3.5,573.0,476.0,2.9,157500
Aston Martin,DBS Superleggera,2022,5.2,715,663,3.2,"308,000",Combustion,5.2,715.0,663.0,3.2,308000
Bentley,Continental GT,2021,6,626,664,3.6,"202,500",Combustion,6.0,626.0,664.0,3.6,202500
Bugatti,Chiron,2021,8,1500,1180,2.3,"3,000,000",Combustion,8.0,1500.0,1180.0,2.3,3000000
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000",Combustion,6.2,717.0,656.0,3.5,65000
Jaguar,F-Type,2021,3,380,339,4.9,"63,100",Combustion,3.0,380.0,339.0,4.9,63100
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Lotus,Evija,2022,Electric,1973,1254,2.5,"2,600,000",Electric,,1973.0,1254.0,2.5,2600000
Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",Combustion,4.7,454.0,384.0,4.8,134300
Porsche,Taycan,2021,Electric,616,774,2.6,"185,000",Electric,,616.0,774.0,2.6,185000
Rimac,C_Two,2022,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"140,000",Electric,,1020.0,1050.0,1.98,140000
McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"325,000",Combustion,4.0,720.0,590.0,3.1,325000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
Ford,GT,2021,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",Combustion,5.2,715.0,664.0,3.4,307820
Jaguar,F-Type,2022,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190",Combustion,6.2,797.0,707.0,3.5,80190
Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",Combustion,3.5,416.0,317.0,3.8,105000
Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745",Combustion,1.8,237.0,258.0,4.1,68745
Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170",Combustion,2.5,310.0,290.0,5.2,38170
Acura,NSX,2022,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Combustion,5.0,1280.0,1015.0,2.5,2800000
Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"139,990",Electric,,1020.0,1050.0,1.98,139990
Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000",Combustion,8.0,1578.0,1180.0,2.3,5200000
McLaren,Senna,2020,4,789,590,2.7,"1,500,000",Combustion,4.0,789.0,590.0,2.7,1500000
Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",Combustion,6.2,622.0,468.0,3.5,275000
Lexus,LC 500,2022,5,471,398,4.4,"93,050",Combustion,5.0,471.0,398.0,4.4,93050
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000",Combustion,6.2,650.0,650.0,3.5,65000
Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
BMW,M2 CS,2022,3,444,406,3.8,"84,595",Combustion,3.0,444.0,406.0,3.8,84595
Porsche,Cayman GT4,2022,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
Lamborghini,Aventador,2022,6.5,770,531,2.8,"393,695",Combustion,6.5,770.0,531.0,2.8,393695
Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",Combustion,4.0,503.0,505.0,3.6,146000
Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",Combustion,3.5,416.0,317.0,3.8,96950
Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",Combustion,4.0,620.0,604.0,2.9,180000
Lamborghini,Aventador S,2022,6.5,729,507,2.9,"460,247",Combustion,6.5,729.0,507.0,2.9,460247
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS 6 Avant,2022,4,591,590,3.1,"110,045",Combustion,4.0,591.0,590.0,3.1,110045
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400",Combustion,4.0,503.0,516.0,3.7,77400
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",Combustion,6.2,717.0,656.0,3.5,64195
Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815",Combustion,3.7,350.0,276.0,5.0,46815
Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",Combustion,4.0,414.0,309.0,4.2,102550
Audi,TT RS,2021,2.5,394,354,3.6,"67,895",Combustion,2.5,394.0,354.0,3.6,67895
Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000",Combustion,5.5,625.0,650.0,2.6,85000
Lamborghini,Urus,2022,4,641,626,3.2,"218,009",Combustion,4.0,641.0,626.0,3.2,218009
Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900",Combustion,4.0,630.0,664.0,3.1,162900
Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000",Combustion,3.9,612.0,560.0,3.5,245000
Bugatti,Chiron,2021,8,1479,1180,2.5,"3,000,000",Combustion,8.0,1479.0,1180.0,2.5,3000000
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",Combustion,5.2,715.0,664.0,3.4,304995
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
Porsche,Cayman GT4,2022,4,414,309,4.2,"100,200",Combustion,4.0,414.0,309.0,4.2,100200
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
Lexus,LC,2021,5,471,398,4.4,"92,950",Combustion,5.0,471.0,398.0,4.4,92950
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"74,750",Combustion,2.9,505.0,443.0,3.8,74750
Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
Bentley,Continental GT,2021,6,626,664,3.3,"218,400",Combustion,6.0,626.0,664.0,3.3,218400
BMW,M5,2021,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"70,595",Combustion,6.2,717.0,656.0,3.5,70595
Ford,GT,2022,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",Combustion,5.0,575.0,516.0,3.5,103200
Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695",Combustion,6.5,730.0,509.0,2.9,393695
McLaren,570S,2021,3.8,562,443,3.1,"203,500",Combustion,3.8,562.0,443.0,3.1,203500
Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580",Combustion,6.2,583.0,479.0,3.6,221580
Nissan,370Z Nismo,2020,3.7,350,276,4.7,"47,190",Combustion,3.7,350.0,276.0,4.7,47190
Porsche,Boxster,2021,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
Porsche,718 Cayman,2022,2,300,280,4.9,"61,500",Combustion,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,759,531,2.9,"393,695",Combustion,6.5,759.0,531.0,2.9,393695
Ferrari,Roma,2021,3.9,612,561,3.3,"222,630",Combustion,3.9,612.0,561.0,3.3,222630
Audi,RS 5,2022,2.9,444,442,3.5,"75,400",Combustion,2.9,444.0,442.0,3.5,75400
McLaren,570S,2020,3.8,562,443,3.1,"208,000",Combustion,3.8,562.0,443.0,3.1,208000
BMW,M2,2022,3,405,406,4.2,"58,900",Combustion,3.0,405.0,406.0,4.2,58900
Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250",Combustion,3.0,429.0,384.0,4.9,96250
Chevrolet,Camaro,2021,6.2,455,455,4,"25,000",Combustion,6.2,455.0,455.0,4.0,25000
Ford,GT,2022,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",Combustion,3.7,350.0,276.0,5.0,45000
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",Combustion,5.2,715.0,664.0,3.4,307820
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",Combustion,3.5,416.0,317.0,3.8,100450
Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300",Combustion,4.7,454.0,384.0,4.7,134300
Porsche,Panamera,2022,2.9,325,331,5.2,"88,550",Combustion,2.9,325.0,331.0,5.2,88550
Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Combustion,4.0,641.0,627.0,3.6,218009
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS 6,2022,4,591,590,3.5,"109,000",Combustion,4.0,591.0,590.0,3.5,109000
McLaren,Artura,2022,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
Porsche,Taycan 4S,2021,Electric (93 kWh),429,472,3.8,"103,800",Electric,,429.0,472.0,3.8,103800
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650",Combustion,6.5,730.0,509.0,2.9,417650
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS 7,2022,4,591,590,3.5,"117,000",Combustion,4.0,591.0,590.0,3.5,117000
McLaren,570S,2021,3.8,562,443,3.1,"192,500",Combustion,3.8,562.0,443.0,3.1,192500
BMW,M4,2021,3,473,406,4,"72,800",Combustion,3.0,473.0,406.0,4.0,72800
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"228,000",Combustion,6.2,622.0,468.0,3.5,228000
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
Ford,GT,2021,3.5,660,550,3,"500,000",Combustion,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000",Combustion,3.7,350.0,276.0,5.0,48000
Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"307,820",Combustion,5.2,715.0,664.0,3.2,307820
Lexus,LC 500,2021,5,471,398,4.4,"93,000",Combustion,5.0,471.0,398.0,4.4,93000
Bentley,Continental GT,2021,4,626,664,3.3,"202,500",Combustion,4.0,626.0,664.0,3.3,202500
Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",Combustion,4.7,454.0,384.0,4.7,150980
Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050,1.98,"131,190",Electric,,1020.0,1050.0,1.98,131190
Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"346,300",Combustion,6.6,563.0,605.0,4.3,346300
Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"3,599,000",Combustion,8.0,1500.0,1180.0,2.3,3599000
McLaren,Senna,2019,4,789,590,2.7,"1,050,000",Combustion,4.0,789.0,590.0,2.7,1050000
Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641,3,"186,350",Hybrid,4.0,690.0,641.0,3.0,186350
Acura,NSX,2021,3.5,573,476,2.7,"157,500",Combustion,3.5,573.0,476.0,2.7,157500
Aston Martin,DB11,2021,4,503,498,3.7,"205,600",Combustion,4.0,503.0,498.0,3.7,205600
Audi,RS7,2021,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
Bentley,Continental GT,2021,6,626,664,3.6,"201,000",Combustion,6.0,626.0,664.0,3.6,201000
Bugatti,Chiron,2021,8,1500,1180,2.5,"3,000,000",Combustion,8.0,1500.0,1180.0,2.5,3000000
Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"67,000",Combustion,6.2,650.0,650.0,3.5,67000
Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"64,000",Combustion,6.2,717.0,656.0,3.5,64000
Ferrari,812 Superfast,2021,6.5,789,530,2.8,"340,000",Combustion,6.5,789.0,530.0,2.8,340000
Lamborghini,Aventador SVJ,2021,6.5,770,531,2.8,"517,770",Combustion,6.5,770.0,531.0,2.8,517770
McLaren,600LT Spider,2021,3.8,592,457,2.8,"256,500",Combustion,3.8,592.0,457.0,2.8,256500
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000",Combustion,4.0,720.0,590.0,3.1,325000
Nissan,400Z,2023,3,400,350,4,"40,000",Combustion,3.0,400.0,350.0,4.0,40000
Porsche,Cayman GT4,2021,4,414,309,4.2,"101,000",Combustion,4.0,414.0,309.0,4.2,101000
Rimac,Nevera,2021,Electric,1914,1696,1.9,"2,400,000",Electric,,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.8,624,605,4.4,"330,000",Combustion,6.8,624.0,605.0,4.4,330000
Tesla,Model S Plaid,2021,Electric,1020,,1.9,"139,990",Electric,,1020.0,,1.9,139990
Toyota,Supra,2021,3,382,368,3.9,"43,000",Combustion,3.0,382.0,368.0,3.9,43000
Porsche,718 Boxster,2021,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
Porsche,718 Boxster,2022,2,300,280,4.9,"62,000",Combustion,2.0,300.0,280.0,4.9,62000
Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,826",Combustion,6.5,730.0,509.0,2.9,417826
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS 7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
BMW,M2,2022,3,405,406,4.1,"58,900",Combustion,3.0,405.0,406.0,4.1,58900
Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580",Combustion,6.2,583.0,479.0,3.6,221580
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",Combustion,6.2,650.0,650.0,3.5,64695
Ford,GT,2022,3.5,647,550,3,"500,000",Combustion,3.5,647.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,000",Combustion,3.7,350.0,276.0,4.8,45000
Dodge,Charger Hellcat,2021,6.2,707,650,3.6,"69,995",Combustion,6.2,707.0,650.0,3.6,69995
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"305,000",Combustion,5.2,715.0,663.0,3.2,305000
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,000",Combustion,2.9,505.0,443.0,3.8,75000
Audi,TT RS,2021,2.5,394,354,3.6,"68,000",Combustion,2.5,394.0,354.0,3.6,68000
Bentley,Continental GT,2021,6,626,664,3.6,"203,825",Combustion,6.0,626.0,664.0,3.6,203825
BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900",Combustion,6.2,495.0,470.0,2.9,58900
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"63,000",Combustion,6.2,717.0,656.0,3.5,63000
Ford,Mustang GT,2022,5,460,420,4,"45,000",Combustion,5.0,460.0,420.0,4.0,45000
Porsche,Cayman,2022,2,300,280,4.9,"59,900",Combustion,2.0,300.0,280.0,4.9,59900
Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Combustion,6.5,770.0,531.0,2.8,417826
Ferrari,Roma,2022,3.9,612,560,3.3,"222,630",Combustion,3.9,612.0,560.0,3.3,222630
Audi,RS7,2022,4,591,590,3.5,"114,000",Combustion,4.0,591.0,590.0,3.5,114000
McLaren,570S,2021,3.8,562,443,2.7,"204,995",Combustion,3.8,562.0,443.0,2.7,204995
BMW,M4,2022,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.5,"243,600",Combustion,6.2,622.0,468.0,3.5,243600
Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",Combustion,6.2,455.0,455.0,4.0,42000
Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350,276,5,"47,190",Combustion,3.7,350.0,276.0,5.0,47190
Porsche,Panamera,2022,2.9,325,331,5.4,"88,550",Combustion,2.9,325.0,331.0,5.4,88550
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS6,2022,4,591,590,3.5,"113,000",Combustion,4.0,591.0,590.0,3.5,113000
McLaren,Artura,2021,3,671,531,3,"225,000",Combustion,3.0,671.0,531.0,3.0,225000
BMW,M2,2022,3,405,406,4,"58,900",Combustion,3.0,405.0,406.0,4.0,58900
Mercedes-Benz,GT 63,2021,4,577,590,3.3,"161,200",Combustion,4.0,577.0,590.0,3.3,161200
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
Aston Martin,DBS Superleggera,2021,5.2,715,663,3.2,"310,000",Combustion,5.2,715.0,663.0,3.2,310000
Bugatti,Chiron,2022,8,1500,1180,2.4,"3,000,000",Combustion,8.0,1500.0,1180.0,2.4,3000000
Koenigsegg,Jesko,2021,5,1280,1106,2.5,"2,800,000",Combustion,5.0,1280.0,1106.0,2.5,2800000
Pagani,Huayra,2021,6,764,737,3,"2,600,000",Combustion,6.0,764.0,737.0,3.0,2600000
Rimac,C_Two,2022,,1914,1696,1.85,"2,400,000",Unknown,,1914.0,1696.0,1.85,2400000
McLaren,Senna,2021,4,789,590,2.7,"1,000,000",Combustion,4.0,789.0,590.0,2.7,1000000
Porsche,918 Spyder,2015,4.6,887,944,2.2,"1,800,000",Combustion,4.6,887.0,944.0,2.2,1800000
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Lamborghini,Aventador SVJ,2020,6.5,759,531,2.8,"517,000",Combustion,6.5,759.0,531.0,2.8,517000
Audi,RS 6 Avant,2021,4,591,590,3.5,"110,000",Combustion,4.0,591.0,590.0,3.5,110000
Bentley,Continental GT Speed,2022,6,650,664,3.5,"300,000",Combustion,6.0,650.0,664.0,3.5,300000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"68,000",Combustion,6.2,650.0,650.0,3.5,68000
Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000",Combustion,6.2,717.0,656.0,3.5,65000
Ford,GT,2021,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
Lexus,LC 500,2022,5,471,398,4.4,"92,000",Combustion,5.0,471.0,398.0,4.4,92000
Lotus,Evija,2022,,1972,1254,2.5,"2,700,000",Unknown,,1972.0,1254.0,2.5,2700000
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"330,000",Combustion,4.0,720.0,590.0,3.1,330000
Aston Martin,DB11,2021,4,503,513,3.9,"205,000",Combustion,4.0,503.0,513.0,3.9,205000
Bentley,Continental GT,2022,4,542,568,3.9,"229,000",Combustion,4.0,542.0,568.0,3.9,229000
Jaguar,F-Type,2022,2,296,295,5.4,"62,750",Combustion,2.0,296.0,295.0,5.4,62750
Lotus,Evora GT,2021,3.5,416,317,3.8,"100,000",Combustion,3.5,416.0,317.0,3.8,100000
Maserati,GranTurismo,2021,4.7,454,384,4.7,"135,000",Combustion,4.7,454.0,384.0,4.7,135000
Porsche,Boxster,2022,2,300,280,4.9,"63,000",Combustion,2.0,300.0,280.0,4.9,63000
Alfa Romeo,4C,2020,1.8,237,258,4.2,"67,150",Combustion,1.8,237.0,258.0,4.2,67150
Chevrolet,Camaro,2022,6.2,455,455,4,"62,195",Combustion,6.2,455.0,455.0,4.0,62195
Dodge,Challenger,2022,3.6,305,268,6.4,"28,000",Combustion,3.6,305.0,268.0,6.4,28000
Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
Audi,RS7,2022,4,591,590,3.5,"115,045",Combustion,4.0,591.0,590.0,3.5,115045
BMW,M4,2022,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
Lamborghini,Aventador,2021,6.5,729,507,2.9,"393,695",Combustion,6.5,729.0,507.0,2.9,393695
Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"69,900",Combustion,4.0,469.0,479.0,3.8,69900
Nissan,370Z,2021,3.7,350,276,5.3,"30,090",Combustion,3.7,350.0,276.0,5.3,30090
Porsche,Cayman,2022,2,300,280,4.9,"68,000",Combustion,2.0,300.0,280.0,4.9,68000
BMW,i8,2022,1.5,369,184,4.2,"147,500",Combustion,1.5,369.0,184.0,4.2,147500
Chevrolet,Corvette Stingray,2021,6.2,495,470,2.9,"58,900",Combustion,6.2,495.0,470.0,2.9,58900
Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",Electric,,750.0,774.0,2.6,185000
Lamborghini,Aventador S,2021,6.5,729,507,2.9,"417,650",Combustion,6.5,729.0,507.0,2.9,417650
Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000",Combustion,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4,591,590,3.5,"115,000",Combustion,4.0,591.0,590.0,3.5,115000
McLaren,GT,2022,4,620,465,3.1,"208,000",Combustion,4.0,620.0,465.0,3.1,208000
BMW,M5,2022,4.4,600,553,3.2,"103,500",Combustion,4.4,600.0,553.0,3.2,103500
Mercedes-Benz,SLS AMG,2021,4,730,590,2.9,"250,000",Combustion,4.0,730.0,590.0,2.9,250000
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",Combustion,6.2,650.0,650.0,3.5,63000
Ford,GT,2022,3.5,660,550,2.8,"500,000",Combustion,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350,276,5,"46,100",Combustion,3.7,350.0,276.0,5.0,46100
Porsche,Panamera Turbo S,2022,4,630,604,3.1,"180,000",Combustion,4.0,630.0,604.0,3.1,180000
Lamborghini,Urus,2021,4,641,627,3.2,"218,000",Combustion,4.0,641.0,627.0,3.2,218000
Ferrari,Portofino,2022,3.9,591,561,3.4,"250,000",Combustion,3.9,591.0,561.0,3.4,250000
Audi,TT RS,2022,2.5,394,354,3.6,"70,000",Combustion,2.5,394.0,354.0,3.6,70000
McLaren,570S,2021,3.8,562,443,3.1,"200,000",Combustion,3.8,562.0,443.0,3.1,200000
BMW,i8,2022,Hybrid,369,184,4.2,"148,500",Hybrid,,369.0,184.0,4.2,148500
Porsche,718 Cayman,2022,2,300,280,4.9,"61,500",Combustion,2.0,300.0,280.0,4.9,61500
Lamborghini,Aventador,2021,6.5,770,531,2.8,"417,826",Combustion,6.5,770.0,531.0,2.8,417826
Ferrari,Portofino,2022,3.9,612,561,3.3,"245,000",Combustion,3.9,612.0,561.0,3.3,245000
Audi,TT RS,2022,2.5,394,354,3.6,"67,800",Combustion,2.5,394.0,354.0,3.6,67800
McLaren,GT,2022,4,620,465,3.1,"211,300",Combustion,4.0,620.0,465.0,3.1,211300
BMW,M4,2022,3,473,406,4.1,"71,800",Combustion,3.0,473.0,406.0,4.1,71800
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"222,500",Combustion,6.2,622.0,468.0,3.5,222500
Chevrolet,Camaro SS,2022,6.2,455,455,4,"43,995",Combustion,6.2,455.0,455.0,4.0,43995
Ford,GT,2022,3.5,660,550,2.9,"500,000",Combustion,3.5,660.0,550.0,2.9,500000
Nissan,370Z Nismo,2021,3.7,350,276,4.8,"45,790",Combustion,3.7,350.0,276.0,4.8,45790
Porsche,911 Turbo S,2022,3.8,640,590,2.6,"208,000",Combustion,3.8,640.0,590.0,2.6,208000
McLaren,765LT,2021,4,755,590,2.8,"358,000",Combustion,4.0,755.0,590.0,2.8,358000
Lamborghini,Urus,2021,4,641,627,3.6,"218,009",Combustion,4.0,641.0,627.0,3.6,218009
Mercedes-AMG,GT Black Series,2021,4,720,590,3.1,"325,000",Combustion,4.0,720.0,590.0,3.1,325000
BMW,M5 Competition,2022,4.4,617,553,3.1,"103,500",Combustion,4.4,617.0,553.0,3.1,103500
Audi,RS7,2022,4,591,590,3.5,"115,000",Combustion,4.0,591.0,590.0,3.5,115000
Aston Martin,Vantage,2022,4,503,505,3.5,"152,995",Combustion,4.0,503.0,505.0,3.5,152995
Ferrari,F8 Spider,2021,3.9,710,568,2.9,"274,280",Combustion,3.9,710.0,568.0,2.9,274280
